,pickup_longitude,pickup_latitude,region
3269108,-73.96135711669923,40.806640625,0
31107559,-73.94967651367188,40.801151275634766,0
4464996,-73.95454406738281,40.80571746826172,0
27828548,-73.96027374267578,40.81319046020508,0
9889390,-73.9622802734375,40.80501174926758,0
22183911,-73.9503402709961,40.81121444702149,0
23015342,-73.9267578125,40.81078338623047,0
13177553,-73.95594024658203,40.80350875854492,0
25522,-73.95732879638672,40.80660629272461,0
6771896,-73.94212341308595,40.795372009277344,0
26444583,-73.93698120117188,40.79826354980469,0
18436715,-73.95352172851561,40.806861877441406,0
20124720,-73.93006896972656,40.79507064819336,0
29979232,-73.94014739990233,40.79387664794922,0
15622255,-73.95098114013672,40.80842590332031,0
14219281,-73.96197509765625,40.805423736572266,0
7473298,-73.95814514160156,40.80084991455078,0
16190565,-73.95277404785155,40.80806350708008,0
14012912,-73.96117401123048,40.80707931518555,0
15323147,-73.94405364990233,40.79529571533203,0
53635,-73.9582290649414,40.810733795166016,0
7110937,-73.93212127685547,40.79536819458008,0
1226492,-73.9649658203125,40.806987762451165,0
5232812,-73.93791961669923,40.80359649658203,0
29034373,-73.96437072753906,40.8083610534668,0
25300256,-73.96038818359375,40.80986022949219,0
29596017,-73.96280670166014,40.809917449951165,0
2133,-73.94943237304686,40.80216979980469,0
6901768,-73.93898010253906,40.799419403076165,0
31651177,-73.9388427734375,40.791458129882805,0
25494211,-73.9572525024414,40.80197143554688,0
22180002,-73.94551086425781,40.80796051025391,0
17354844,-73.95527648925781,40.804630279541016,0
21194001,-73.93495178222656,40.80093765258789,0
20852095,-73.95240783691406,40.7994384765625,0
25412077,-73.95897674560547,40.799407958984375,0
3748963,-73.93855285644531,40.804931640625,0
26362870,-73.95037841796875,40.80221176147461,0
9030164,-73.9580535888672,40.800899505615234,0
10917996,-73.95276641845702,40.81085586547852,0
6965720,-73.9612579345703,40.80623245239258,0
7180989,-73.95294189453125,40.81045913696289,0
5629739,-73.9384536743164,40.79599380493164,0
12083516,-73.93974304199219,40.80538940429688,0
25532432,-73.95909118652342,40.80950164794922,0
18121678,-73.93766021728516,40.801372528076165,0
19693067,-73.95565795898438,40.804481506347656,0
27533974,-73.95379638671875,40.806640625,0
46539,-73.93907165527342,40.81075668334961,0
22823823,-73.93857574462889,40.80495834350586,0
2606283,-73.95418548583984,40.80604553222656,0
31731809,-73.9586639404297,40.80010986328125,0
24990840,-73.95101928710938,40.80756378173828,0
20696748,-73.94600677490233,40.80217742919922,0
19694459,-73.95687866210938,40.80248641967773,0
4966864,-73.96087646484375,40.80709838867188,0
31779014,-73.93392944335938,40.8028678894043,0
12114231,-73.93577575683594,40.796199798583984,0
21826718,-73.96072387695312,40.806907653808594,0
5463984,-73.92711639404298,40.80672836303711,0
18499302,-73.96148681640625,40.8069725036621,0
14748506,-73.93389892578125,40.80245971679688,0
26227032,-73.96221923828125,40.80529022216797,0
22031383,-73.95691680908203,40.8126335144043,0
18437939,-73.94622802734375,40.792346954345696,0
16299045,-73.95540618896483,40.81465911865234,0
7863788,-73.96482849121092,40.80685043334961,0
24176092,-73.94666290283203,40.80582046508789,0
19153058,-73.94580841064453,40.79287338256836,0
26856441,-73.93901824951173,40.7917594909668,0
30274320,-73.94007873535155,40.79392623901367,0
4709289,-73.93470764160156,40.79834747314453,0
19349830,-73.94950103759764,40.802024841308594,0
5168649,-73.95600128173827,40.80358505249024,0
32532954,-73.93643188476561,40.79888916015625,0
12903271,-73.95893859863281,40.81526184082031,0
14959092,-73.94097900390625,40.80523300170898,0
5763088,-73.94293975830078,40.81101608276367,0
19856336,-73.94803619384764,40.814571380615234,0
26823173,-73.95710754394531,40.81222915649414,0
22379701,-73.95410919189453,40.806251525878906,0
19736452,-73.9417953491211,40.79854583740234,0
25493985,-73.96405792236328,40.80804061889648,0
26017468,-73.95803833007811,40.81567001342773,0
20217058,-73.94580841064453,40.80157852172852,0
3461296,-73.94318389892578,40.81111526489258,0
10545917,-73.95004272460938,40.79574966430664,0
6863925,-73.93778228759764,40.79718399047852,0
10677367,-73.94107055664062,40.792572021484375,0
20853754,-73.93829345703125,40.811859130859375,0
18722778,-73.95607757568358,40.8132438659668,0
14739524,-73.93791961669923,40.79680633544922,0
3863425,-73.95867156982422,40.81512069702149,0
7562944,-73.93912506103516,40.810646057128906,0
13409109,-73.9527587890625,40.80238723754882,0
12895045,-73.94492340087889,40.80866622924805,0
3293264,-73.9410629272461,40.7925033569336,0
29227455,-73.93757629394531,40.79710006713867,0
23553722,-73.94727325439453,40.80543899536133,0
18950017,-73.93860626220702,40.795806884765625,0
28501110,-73.93916320800781,40.80487823486328,0
12553603,-73.94634246826173,40.798038482666016,0
14496477,-73.93659210205078,40.79868316650391,0
12997016,-73.93890380859375,40.795555114746094,0
8964233,-73.95828247070312,40.81074905395508,0
30122814,-73.95914459228516,40.80904769897461,0
2188915,-73.95864868164062,40.81534957885742,0
26701953,-73.96053314208984,40.806861877441406,0
24424061,-73.9441146850586,40.79529571533203,0
18844171,-73.93839263916014,40.80569076538086,0
15935014,-73.93689727783203,40.813941955566406,0
18544484,-73.93550109863281,40.79613876342773,0
30029823,-73.94129943847656,40.80779647827149,0
27767483,-73.94487762451173,40.80281066894531,0
29818391,-73.95029449462889,40.795291900634766,0
32475299,-73.93282318115233,40.79581451416016,0
20525273,-73.94837951660156,40.80879974365234,0
20014679,-73.94468688964844,40.79460906982422,0
